GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
WHO_REGIONS,AFR,African Region,2024,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,37175318,20476828,55
WHO_REGIONS,EMR,Eastern Mediterranean Region,2024,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,18611380,13904752,75
WHO_REGIONS,EUR,European Region,2024,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10689279,9675943,91
WHO_REGIONS,AMR,Region of the Americas,2024,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,13612312,10444187,77
WHO_REGIONS,SEAR,South-East Asia Region,2024,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,28728317,26266507,91
WHO_REGIONS,WPR,Western Pacific Region,2024,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,20427683,18046364,88
WHO_REGIONS,AFR,African Region,2023,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,36620135,17670450,48
WHO_REGIONS,EMR,Eastern Mediterranean Region,2023,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,18508724,13543450,73
WHO_REGIONS,EUR,European Region,2023,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,11004943,10008630,91
WHO_REGIONS,AMR,Region of the Americas,2023,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,13834807,10439715,75
WHO_REGIONS,SEAR,South-East Asia Region,2023,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,28780517,25821055,90
WHO_REGIONS,WPR,Western Pacific Region,2023,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,21802569,18620229,85
WHO_REGIONS,AFR,African Region,2022,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,36072840,15391666,43
WHO_REGIONS,EMR,Eastern Mediterranean Region,2022,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,18437053,13899317,75
WHO_REGIONS,EUR,European Region,2022,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,11284611,10317198,91
WHO_REGIONS,AMR,Region of the Americas,2022,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,14078088,10766031,76
